"lek_id","data_label","date","n_points","nn_median","bw_sigma","ref_median_nn","r_max_used"
"TalChhapar_TC","12OCT",2012-10-01,162,15.8803433228294,33.6701928263695,18.8344650121832,75.337860048733
"TalChhapar_TC","14FEB",2014-02-01,193,15.0027018934483,30.2842785090207,18.8344650121832,75.337860048733
"TalChhapar_TC","15NOV",2015-11-01,127,16.1711888003707,30.1775616905577,18.8344650121832,75.337860048733
"TalChhapar_TC","15DEC",2015-12-01,106,18.9239521263605,38.2764499474691,18.8344650121832,75.337860048733
"TalChhapar_TC","18JAN",2018-01-01,241,16.8210276272011,39.6352531622189,18.8344650121832,75.337860048733
"TalChhapar_TC","18NOV",2018-11-01,159,16.0537570481875,31.5265997384293,18.8344650121832,75.337860048733
"TalChhapar_TC","19OCT",2019-10-01,151,16.8829723745452,32.2468890394737,18.8344650121832,75.337860048733
"TalChhapar_TC","21FEB",2021-02-01,163,17.3201743287458,31.4739342591729,18.8344650121832,75.337860048733
"TalChhapar_TC","22MAR",2022-03-01,135,16.6881576451445,35.6308044909128,18.8344650121832,75.337860048733
"TalChhapar_TC","23DEC",2023-12-01,284,13.2870453311951,36.5369096957333,18.8344650121832,75.337860048733
"Velavadar_LEK1","13DEC",2013-12-01,43,24.3949738316769,40.2630755180368,18.8344650121832,75.337860048733
"Velavadar_LEK1","14FEB",2014-02-01,73,18.1214704347678,48.4667508875549,18.8344650121832,75.337860048733
"Velavadar_LEK1","14OCT",2014-10-01,37,20.6472079728013,28.986184869352,18.8344650121832,75.337860048733
"Velavadar_LEK1","15MAY",2015-05-01,83,20.2343308402537,34.7496018507038,18.8344650121832,75.337860048733
"Velavadar_LEK1","15NOV",2015-11-01,48,20.1755553535907,38.5535127915107,18.8344650121832,75.337860048733
"Velavadar_LEK1","16JAN",2016-01-01,102,18.744977898006,49.0203769205745,18.8344650121832,75.337860048733
"Velavadar_LEK1","16NOV",2016-11-01,102,11.2751042345529,27.7456732421108,18.8344650121832,75.337860048733
"Velavadar_LEK1","18OCT",2018-10-01,63,11.8355172791905,28.6637670235734,18.8344650121832,75.337860048733
"Velavadar_LEK1","18NOV",2018-11-01,82,11.8771748047133,32.343284893333,18.8344650121832,75.337860048733
"Velavadar_LEK1","21MAR",2021-03-01,69,20.1599083073852,34.9349894544526,18.8344650121832,75.337860048733
"Velavadar_LEK1","21DEC",2021-12-01,32,25.9376897264674,44.8805940938934,18.8344650121832,75.337860048733
"Velavadar_LEK1","22DEC",2022-12-01,12,36.9302806926702,36.1497330393919,18.8344650121832,75.337860048733
"Velavadar_LEK1","24MAY",2024-05-01,7,57.6837786472384,63.2668426349036,18.8344650121832,75.337860048733
"Velavadar_LEK2","14FEB",2014-02-01,25,56.790136329422,81.233613678935,18.8344650121832,75.337860048733
"Velavadar_LEK2","15MAY",2015-05-01,76,39.3675825624764,125.513924759469,18.8344650121832,75.337860048733
"Velavadar_LEK2","15NOV",2015-11-01,19,76.4769430268495,126.180801503407,18.8344650121832,75.337860048733
"Velavadar_LEK2","16JAN",2016-01-01,117,15.047014337937,32.4397134573082,18.8344650121832,75.337860048733
"Velavadar_LEK2","16NOV",2016-11-01,79,34.976833086844,58.3474612187629,18.8344650121832,75.337860048733
"Velavadar_LEK2","18OCT",2018-10-01,49,35.5132403507961,78.4254504545516,18.8344650121832,75.337860048733
"Velavadar_LEK2","18NOV",2018-11-01,109,25.9553524331856,40.0728327914403,18.8344650121832,75.337860048733
"Velavadar_LEK2","21MAR",2021-03-01,153,23.9704444427778,53.0872789557294,18.8344650121832,75.337860048733
"Velavadar_LEK2","21DEC",2021-12-01,95,17.9404201087478,68.240511184197,18.8344650121832,75.337860048733
"Velavadar_LEK2","22DEC",2022-12-01,109,16.3515407739817,81.427136769195,18.8344650121832,75.337860048733
"Velavadar_LEK2","24MAY",2024-05-01,265,21.025647670523,64.7341930972584,18.8344650121832,75.337860048733
