Date,Lek,count,Prop,Terr
2013-Dec,1,43,1,100
2013-Dec,2,0,0,0
2014-Feb,1,73,0.744897959183674,74.4897959183674
2014-Feb,2,25,0.255102040816327,25.5102040816327
2014-Oct,1,37,0.973684210526316,97.3684210526316
2014-Oct,2,1,0.0263157894736842,2.63157894736842
2015-May,1,83,0.522012578616352,52.2012578616352
2015-May,2,76,0.477987421383648,47.7987421383648
2015-Nov,1,49,0.720588235294118,72.0588235294118
2015-Nov,2,19,0.279411764705882,27.9411764705882
2016-Jan,1,102,0.586206896551724,58.6206896551724
2016-Jan,2,72,0.413793103448276,41.3793103448276
2016-Nov,1,93,0.53757225433526,53.757225433526
2016-Nov,2,80,0.46242774566474,46.242774566474
2018-Oct,1,63,0.5625,56.25
2018-Oct,2,49,0.4375,43.75
2018-Nov,1,82,0.429319371727749,42.9319371727749
2018-Nov,2,109,0.570680628272251,57.0680628272251
2021-Mar,1,68,0.307692307692308,30.7692307692308
2021-Mar,2,153,0.692307692307692,69.2307692307692
2021-Dec,1,33,0.259842519685039,25.9842519685039
2021-Dec,2,94,0.740157480314961,74.0157480314961
2022-Dec,1,12,0.0991735537190083,9.91735537190083
2022-Dec,2,109,0.900826446280992,90.0826446280992
2024-May,1,7,0.0259259259259259,2.59259259259259
2024-May,2,263,0.974074074074074,97.4074074074074
